名稱,元/100g,食材單位成本,食譜組成,重量,總物料成本,總可製作份數,可製作半成品重量,實際庫存量,動態庫存量,安全庫存量
舒肥海南雞,12.9149265275,0.129149265275,"舒肥海南雞-雞胸肉 (https://www.notion.so/237fd5adc30b80489024ca9158360677?pvs=21), 舒肥海南雞-水 (https://www.notion.so/237fd5adc30b8065836dce59222d2fe0?pvs=21), 舒肥海南雞-南薑 (https://www.notion.so/237fd5adc30b8068996cec05a4b5a8b5?pvs=21), 舒肥海南雞-鹽 (https://www.notion.so/237fd5adc30b8068a309ececb67d2739?pvs=21), 舒肥海南雞-雞粉 (https://www.notion.so/237fd5adc30b80809fefde6b48b35545?pvs=21), 舒肥海南雞-青蔥 (https://www.notion.so/237fd5adc30b808cbe32da6e85260bbb?pvs=21), 舒肥海南雞-橄欖油 (https://www.notion.so/237fd5adc30b80a2806fdb62d4ed3b1d?pvs=21), 舒肥海南雞-白胡椒 (https://www.notion.so/237fd5adc30b80f6ab0bd0493a348191?pvs=21), 舒肥海南雞-薑 (https://www.notion.so/237fd5adc30b80b09f4cd4dc20037fe9?pvs=21)",129.3,16.698999999999995,0,0,0,0,
舒肥沙爹咖喱雞,14.1340206186,0.141340206186,"舒肥沙爹咖喱雞-紅糖 (https://www.notion.so/237fd5adc30b80a98388f8269e565a59?pvs=21), 舒肥沙爹咖喱雞-椰奶 (https://www.notion.so/237fd5adc30b804499b6de12f3e63161?pvs=21), 舒肥沙爹咖喱雞-魚露 (https://www.notion.so/237fd5adc30b8006a09dfe31ebf3e1ce?pvs=21), 舒肥沙爹咖喱雞-紅蔥頭 (https://www.notion.so/237fd5adc30b804abda1feb001bb2a74?pvs=21), 舒肥沙爹咖喱雞-黃咖哩 (https://www.notion.so/237fd5adc30b80918e69d66889a17d8b?pvs=21), 舒肥沙爹咖喱雞-花生醬  (https://www.notion.so/237fd5adc30b806ab077fc461a166916?pvs=21), 舒肥沙爹咖喱雞-雞胸肉 (https://www.notion.so/237fd5adc30b80858790dfc21e01c4b6?pvs=21), 舒肥沙爹咖喱雞-辣椒粉 (https://www.notion.so/237fd5adc30b8078a824ff4f6444105b?pvs=21), 舒肥沙爹咖喱雞-羅望子 (https://www.notion.so/237fd5adc30b809da591cd6161f60785?pvs=21)",145.5,20.565,0,0,0,0,
帕泰醬,8.2574074074,0.082574074074,"帕泰醬-紅糖 (https://www.notion.so/237fd5adc30b80ad845ed835585c1161?pvs=21), 帕泰醬-醋 (https://www.notion.so/237fd5adc30b80409979e1c1563af5c6?pvs=21), 帕泰醬-羅望子 (https://www.notion.so/237fd5adc30b80bdac68fdbb7ba140c4?pvs=21), 帕泰醬-魚露 (https://www.notion.so/237fd5adc30b808eb1a0dbbc35533be8?pvs=21), 帕泰醬-紅蔥醬 (https://www.notion.so/237fd5adc30b8020bb33ec864ed56631?pvs=21)",1080,89.18,6,6480,600,7080,
魚露炸腿,15.1949204406,0.151949204406,"魚露炸腿-蒜仁 (https://www.notion.so/237fd5adc30b8079b798e9a9eb93400c?pvs=21), 魚露炸腿-紅蔥頭 (https://www.notion.so/237fd5adc30b80a281c3dffa2344f5cf?pvs=21), 魚露炸腿-紅糖 (https://www.notion.so/237fd5adc30b80d29c4df170b7c7c484?pvs=21), 魚露炸腿-魚露 (https://www.notion.so/237fd5adc30b801f85e3d2465992677d?pvs=21), 魚露炸腿-檸檬葉 (https://www.notion.so/237fd5adc30b8067aa8be308ea0b8443?pvs=21), 魚露炸腿-香茅 (https://www.notion.so/237fd5adc30b808ba1abefb7cf081b3b?pvs=21), 魚露炸腿-雞粉 (https://www.notion.so/237fd5adc30b801bb80fddfda8af47d7?pvs=21), 魚露炸腿-白胡椒 (https://www.notion.so/237fd5adc30b80cabfc0fc7c846b6e1b?pvs=21), 魚露炸腿-去骨腿排 (https://www.notion.so/237fd5adc30b80c88800c5175c8e9b6a?pvs=21)",13072,1986.28,0,0,10800,10800,
青木瓜醬,14.4,0.144,"青木瓜醬-花生 (https://www.notion.so/237fd5adc30b806ea14bf46b4345befb?pvs=21), 青木瓜醬-菜豆 (https://www.notion.so/237fd5adc30b807080e2ec1cc967c868?pvs=21), 青木瓜醬-蝦米 (https://www.notion.so/237fd5adc30b805f9343e4580024d6e9?pvs=21), 青木瓜醬-蒜仁 (https://www.notion.so/237fd5adc30b80e897bec77015463344?pvs=21), 青木瓜醬-大辣椒 (https://www.notion.so/237fd5adc30b805cb47be5a64e0b9af3?pvs=21), 青木瓜醬-紅糖 (https://www.notion.so/237fd5adc30b8081a3bbcdc20cf6b19e?pvs=21), 青木瓜醬-羅望子 (https://www.notion.so/237fd5adc30b80e6acd9e04c71c9faad?pvs=21), 青木瓜醬-魚露 (https://www.notion.so/237fd5adc30b80fb972dd059da492f5d?pvs=21), 青木瓜醬-檸檬汁 (https://www.notion.so/237fd5adc30b8033852fdb0aa7d442b6?pvs=21)",185,26.639999999999997,20,3700,200,3900,
經典打拋醬-豬,17.8025830258,0.178025830258,"經典打拋醬-打拋醬 (https://www.notion.so/237fd5adc30b808cb016c0cfd5397d75?pvs=21), 經典打拋醬-蒜仁 (https://www.notion.so/237fd5adc30b804a99eff661d00aa67d?pvs=21), 經典打拋醬-鬼椒 (https://www.notion.so/237fd5adc30b805195a2c0030b4accab?pvs=21), 經典打拋醬-大辣椒 (https://www.notion.so/237fd5adc30b80869189cf5374c179a7?pvs=21), 經典打拋醬-白砂糖 (https://www.notion.so/237fd5adc30b808f8913dae5a6aca9bb?pvs=21), 經典打拋醬-打拋粉 (https://www.notion.so/237fd5adc30b80f18a4ad23f6484b36a?pvs=21), 經典打拋醬-豬肉 (https://www.notion.so/238fd5adc30b80eeb6b6fc93231195c4?pvs=21), 經典打拋醬-菜豆 (https://www.notion.so/238fd5adc30b805383b5ef838586adf6?pvs=21)",1355,241.225,3,4065,960,5025,
經典打拋醬-雞,16.6217712177,0.166217712177,"經典打拋醬-打拋醬 (https://www.notion.so/237fd5adc30b808cb016c0cfd5397d75?pvs=21), 經典打拋醬-蒜仁 (https://www.notion.so/237fd5adc30b804a99eff661d00aa67d?pvs=21), 經典打拋醬-鬼椒 (https://www.notion.so/237fd5adc30b805195a2c0030b4accab?pvs=21), 經典打拋醬-大辣椒 (https://www.notion.so/237fd5adc30b80869189cf5374c179a7?pvs=21), 經典打拋醬-白砂糖 (https://www.notion.so/237fd5adc30b808f8913dae5a6aca9bb?pvs=21), 經典打拋醬-打拋粉 (https://www.notion.so/237fd5adc30b80f18a4ad23f6484b36a?pvs=21), 經典打拋醬-雞肉 (https://www.notion.so/238fd5adc30b80268bf6c73bc4807cb2?pvs=21), 經典打拋醬-菜豆 (https://www.notion.so/238fd5adc30b805383b5ef838586adf6?pvs=21)",1355,225.225,6,8130,0,8130,
秘傳炸翅,11.9011102887,0.119011102887,"秘傳炸翅-二節翅 (https://www.notion.so/237fd5adc30b807ca220cf75ed568981?pvs=21), 秘傳炸翅-雞粉 (https://www.notion.so/237fd5adc30b8041b0cadc0550dd6197?pvs=21), 秘傳炸翅-芫荽子 (https://www.notion.so/237fd5adc30b808181b8da0ac5f20ce4?pvs=21), 秘傳炸翅-白砂糖 (https://www.notion.so/237fd5adc30b80cfb87fc280a5a9f5f5?pvs=21), 秘傳炸翅-白胡椒 (https://www.notion.so/237fd5adc30b807096b0eafc4380cf61?pvs=21), 秘傳炸翅-黑胡椒 (https://www.notion.so/237fd5adc30b80ddbf33d924d7d7a4a7?pvs=21), 秘傳炸翅-魚露 (https://www.notion.so/237fd5adc30b801fb028ec2407e00a8b?pvs=21), 秘傳炸翅-美極鮮味露 (https://www.notion.so/237fd5adc30b80888dded4d80a96da4b?pvs=21), 秘傳炸翅-紅蔥頭 (https://www.notion.so/237fd5adc30b8009bc4dd359547823d8?pvs=21), 秘傳炸翅-蒜仁 (https://www.notion.so/237fd5adc30b8067a0b8ebb933cd8b91?pvs=21)",6755,803.9200000000001,0,0,2000,2000,
經典蝦醬,22.3965517241,0.223965517241,"經典蝦醬-白胡椒 (https://www.notion.so/237fd5adc30b8044ba5fc0e70e4f4061?pvs=21), 經典蝦醬-白砂糖 (https://www.notion.so/237fd5adc30b80a8998bd4c37c4e0c25?pvs=21), 經典蝦醬-蠔油 (https://www.notion.so/237fd5adc30b801294f3ddaeaadcfc74?pvs=21), 經典蝦醬-蝦醬 (https://www.notion.so/237fd5adc30b80dd8a68e0b955e0fd4b?pvs=21), 經典蝦醬-蝦米 (https://www.notion.so/237fd5adc30b802593a8c47c441ade05?pvs=21), 經典蝦醬-蒜頭 (https://www.notion.so/239fd5adc30b805694a9cd16a3bd8514?pvs=21)",58,12.99,10,580,0,580,
經典炸粉,3.77,0.0377,"經典炸粉-在來米粉 (https://www.notion.so/237fd5adc30b808e9901f50600c1aefc?pvs=21), 經典炸粉-地瓜粉 (https://www.notion.so/237fd5adc30b80599800e8c89f8ed280?pvs=21), 經典炸粉-酥炸粉 (https://www.notion.so/237fd5adc30b80f9bee9f017e4fe8c6b?pvs=21)",2000,75.4,1,2000,1000,3000,
經典紅咖哩醬,13.2395209581,0.132395209581,"經典紅咖哩醬-紅蔥頭 (https://www.notion.so/237fd5adc30b80ae9cacf5c132db3802?pvs=21), 經典紅咖哩醬-蒜仁 (https://www.notion.so/237fd5adc30b801fae6ed6275cb1f90c?pvs=21), 經典紅咖哩醬-紅咖哩醬 (https://www.notion.so/237fd5adc30b8052a603f8185ffc42ad?pvs=21), 經典紅咖哩醬-菜豆 (https://www.notion.so/237fd5adc30b8075b84ad54129459cd1?pvs=21), 經典紅咖哩醬-椰漿粉 (https://www.notion.so/237fd5adc30b80df81bdd1919edf53e2?pvs=21), 經典紅咖哩醬-白砂糖 (https://www.notion.so/237fd5adc30b807d933dd91a9e1ba2c1?pvs=21), 經典紅咖哩醬-杏鮑菇 (https://www.notion.so/237fd5adc30b8039b1cbe37cf4874378?pvs=21), 經典紅咖哩醬-竹筍 (https://www.notion.so/237fd5adc30b8048a6f1df7d1babd7a3?pvs=21), 經典紅咖哩醬-洋蔥 (https://www.notion.so/237fd5adc30b80da8bbeebc6764bc2d7?pvs=21), 經典紅咖哩醬-牛肉粉 (https://www.notion.so/237fd5adc30b805cbe8de6a1e7eab485?pvs=21), 經典紅咖哩醬-魚露 (https://www.notion.so/237fd5adc30b80ba9269ef8865c638c2?pvs=21), 經典紅咖哩醬-檸檬葉 (https://www.notion.so/237fd5adc30b80cb9c52e291157922b7?pvs=21), 經典紅咖哩醬-南薑 (https://www.notion.so/237fd5adc30b80df9ea5ffa71d693559?pvs=21), 經典紅咖哩醬-水 (https://www.notion.so/237fd5adc30b808e8205f7fd732624f4?pvs=21)",1670,221.10000000000002,0,0,1600,1600,
經典綠咖哩醬,11.1308641975,0.111308641975,"經典綠咖哩醬-綠咖哩醬 (https://www.notion.so/237fd5adc30b8007aac6ddafe41bfa65?pvs=21), 經典綠咖哩醬-紅蔥頭 (https://www.notion.so/237fd5adc30b80b1972add674b8ab033?pvs=21), 經典綠咖哩醬-蒜仁 (https://www.notion.so/237fd5adc30b806481f7eaed66dacc5b?pvs=21), 經典綠咖哩醬-木耳 (https://www.notion.so/237fd5adc30b8026967dc5684bb1bfde?pvs=21), 經典綠咖哩醬-杏鮑菇 (https://www.notion.so/237fd5adc30b802d9029e572a5b6c103?pvs=21), 經典綠咖哩醬-紅糖 (https://www.notion.so/237fd5adc30b806f9ebafdf8a741ef56?pvs=21), 經典綠咖哩醬-椰漿粉 (https://www.notion.so/237fd5adc30b80d9b238f3db6ea9e5ac?pvs=21), 經典綠咖哩醬-雞粉 (https://www.notion.so/237fd5adc30b8068b4edfecf2014f755?pvs=21), 經典綠咖哩醬-南薑乾 (https://www.notion.so/237fd5adc30b80ca98b5f4e8d59b9e35?pvs=21), 經典綠咖哩醬-檸檬葉乾 (https://www.notion.so/237fd5adc30b80f98713df65c43bbe86?pvs=21), 經典綠咖哩醬-水 (https://www.notion.so/237fd5adc30b808db5a8f03233a4171e?pvs=21), 經典綠咖哩醬-竹筍 (https://www.notion.so/237fd5adc30b80c48057c9b912e0e462?pvs=21), 經典綠咖哩醬-洋蔥 (https://www.notion.so/237fd5adc30b808a80c2d4743b497961?pvs=21), 經典綠咖哩醬-魚露 (https://www.notion.so/237fd5adc30b8071a047e4ae0025c86a?pvs=21)",1620,180.32000000000002,1,1620,0,1620,
舒肥薑黃咖喱雞,14.746373057,0.14746373057,"舒肥薑黃咖喱雞-紅糖 (https://www.notion.so/237fd5adc30b80f6ab09c736922507fc?pvs=21), 舒肥薑黃咖喱雞-雞胸肉 (https://www.notion.so/237fd5adc30b8024b047d4d030fff3c9?pvs=21), 舒肥薑黃咖喱雞-檸檬葉 (https://www.notion.so/237fd5adc30b8012a03fcfb167f7f3bc?pvs=21), 舒肥薑黃咖喱雞-魚露 (https://www.notion.so/237fd5adc30b802ea547ebebb2ecabab?pvs=21), 舒肥薑黃咖喱雞-椰漿粉 (https://www.notion.so/237fd5adc30b8013adbbdd9776f9f4c8?pvs=21), 舒肥薑黃咖喱雞-水 (https://www.notion.so/237fd5adc30b805cb3abc73787f78381?pvs=21), 舒肥薑黃咖喱雞-黃咖哩 (https://www.notion.so/237fd5adc30b80d18b5fdd0799f6f1c1?pvs=21), 舒肥薑黃咖喱雞-薑黃粉 (https://www.notion.so/237fd5adc30b804c9097e00607acfba8?pvs=21)",7720,1138.4199999999998,0,0,0,0,
泰南烤雞,14.0668683812,0.140668683812,"泰南烤雞-美極鮮味露 (https://www.notion.so/237fd5adc30b80cc84a9d6330e4f7e70?pvs=21), 泰南烤雞-魚露 (https://www.notion.so/237fd5adc30b801f926bc5b92665daae?pvs=21), 泰南烤雞-芫荽子 (https://www.notion.so/237fd5adc30b80929536c0ce7104732a?pvs=21), 泰南烤雞-雞粉 (https://www.notion.so/237fd5adc30b80869f79f8b0ebe65e03?pvs=21), 泰南烤雞-雞胸肉 (https://www.notion.so/237fd5adc30b80a6b7f3e3249975810e?pvs=21), 泰南烤雞-白胡椒 (https://www.notion.so/237fd5adc30b80fe81a1e01319f6215a?pvs=21), 泰南烤雞-蒜酥 (https://www.notion.so/237fd5adc30b8033ac87f45fc64fd5d8?pvs=21), 泰南烤雞-白砂糖 (https://www.notion.so/237fd5adc30b8045b343f431c6e1346a?pvs=21)",6610,929.8199999999999,0,0,0,0,
茉莉豬頸肉,38.0515283843,0.380515283843,"茉莉豬頸肉-松板肉 (https://www.notion.so/237fd5adc30b80c49542c5656ea5a200?pvs=21), 茉莉豬頸肉-芫荽子 (https://www.notion.so/237fd5adc30b805baf79ff97df516819?pvs=21), 茉莉豬頸肉-蒜酥 (https://www.notion.so/237fd5adc30b80778bb8e2d3c66a1b2c?pvs=21), 茉莉豬頸肉-奶水 (https://www.notion.so/237fd5adc30b80638cfdcc371e19a076?pvs=21), 茉莉豬頸肉-雞粉 (https://www.notion.so/237fd5adc30b807bb963f3f501287123?pvs=21), 茉莉豬頸肉-白胡椒 (https://www.notion.so/237fd5adc30b80d39b95d8f8921237a2?pvs=21), 茉莉豬頸肉-黑胡椒 (https://www.notion.so/237fd5adc30b80a2896ff593e478d081?pvs=21), 茉莉豬頸肉-鹽 (https://www.notion.so/237fd5adc30b80a08d5de0aee5423b71?pvs=21), 茉莉豬頸肉-紅糖 (https://www.notion.so/237fd5adc30b805a95e4e5f40db8a974?pvs=21)",6870,2614.1399999999994,0,0,0,0,
