項目名稱,單項可製作份數,食譜/菜單資料庫,食材資料庫管理 (Ingredient Database),食材庫存量,使用數量(克),食材單位成本,項目成本
舒肥海南雞-雞胸肉,60,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6000,100,0.142,14.2
舒肥海南雞-薑,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),薑 (https://www.notion.so/237fd5adc30b8022847bec2b761a10a1?pvs=21),0,3,0.15,0.45
舒肥海南雞-青蔥,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),青蔥 (https://www.notion.so/237fd5adc30b80459aecc31b80493c94?pvs=21),0,3,0.25,0.75
舒肥海南雞-南薑,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),南薑 (https://www.notion.so/237fd5adc30b804ea372d122ed66c5e4?pvs=21),0,2,0.3,0.6
舒肥海南雞-水,20000,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,10,0.001,0.01
舒肥海南雞-橄欖油,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),橄欖油 (https://www.notion.so/237fd5adc30b809694e7ecca7698606f?pvs=21),0,10,0.041,0.41
舒肥海南雞-鹽,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),鹽 (https://www.notion.so/237fd5adc30b80c9a302e80a3cb65902?pvs=21),0,0.5,0.008,0.004
舒肥海南雞-雞粉,400,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,0.5,0.25,0.125
舒肥海南雞-白胡椒,166,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,0.3,0.5,0.15
舒肥沙爹咖喱雞-雞胸肉,60,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6000,100,0.142,14.2
舒肥沙爹咖喱雞-羅望子,680,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,2,0.159,0.318
舒肥沙爹咖喱雞-辣椒粉,0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),辣椒粉 (https://www.notion.so/237fd5adc30b80b68f29d1d42b2f837c?pvs=21),0,4,0.273,1.092
"舒肥沙爹咖喱雞-花生醬 ",0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),花生醬 (https://www.notion.so/237fd5adc30b809a9cbdfab18803d584?pvs=21),0,25,0.143,3.575
舒肥沙爹咖喱雞-紅蔥頭,175,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,4,0.167,0.668
舒肥沙爹咖喱雞-紅糖,600,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,3,0.033,0.099
舒肥沙爹咖喱雞-椰奶,0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),椰奶(AROY-D) (https://www.notion.so/AROY-D-237fd5adc30b806ab35ac26b914aaebd?pvs=21),0,5,0.085,0.425
舒肥沙爹咖喱雞-黃咖哩,0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),黃咖喱(COCK) (https://www.notion.so/COCK-237fd5adc30b80c5bef4ff6c97826ee1?pvs=21),0,0.5,0.136,0.068
舒肥沙爹咖喱雞-魚露,1050,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,2,0.06,0.12
經典蝦醬-蝦米,60,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),蝦米 (https://www.notion.so/237fd5adc30b8072bcf2c22acb42b884?pvs=21),600,10,0.467,4.67
經典蝦醬-蝦醬,33,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),蝦醬 (https://www.notion.so/237fd5adc30b80968c12c5ebd21e7d9c?pvs=21),200,6,0.6,3.6
經典蝦醬-蠔油,10,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),熊貓蠔油 (https://www.notion.so/237fd5adc30b80a98b19cd023b924aa2?pvs=21),200,20,0.084,1.68
經典蝦醬-白砂糖,300,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,10,0.037,0.37
經典蝦醬-白胡椒,25,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,2,0.5,1
經典蝦醬-蒜頭,60,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,10,0.167,1.67
帕泰醬-紅糖,6,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,300,0.033,9.9
帕泰醬-醋,7,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),醋 (https://www.notion.so/237fd5adc30b8027a093ef2a8b7acdbd?pvs=21),2000,260,0.05,13
帕泰醬-羅望子,6,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,200,0.159,31.8
帕泰醬-魚露,8,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,240,0.06,14.4
帕泰醬-紅蔥醬,12,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),紅葱醬 (https://www.notion.so/237fd5adc30b8057a5a3d45ba08046a3?pvs=21),1000,80,0.251,20.08
魚露炸腿-蒜仁,7,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,80,0.167,13.36
魚露炸腿-紅蔥頭,8,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,80,0.167,13.36
魚露炸腿-紅糖,6,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,280,0.033,9.24
魚露炸腿-魚露,5,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,400,0.06,24
魚露炸腿-檸檬葉,2,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),"檸檬葉 (https://www.notion.so/237fd5adc30b807887c3c94270a68d90?pvs=21), 檸檬葉乾 (https://www.notion.so/238fd5adc30b80df9498c09449b13443?pvs=21)",50,24,1.9,45.6
魚露炸腿-香茅,0,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),"香茅 (https://www.notion.so/237fd5adc30b802192d9e625047380f1?pvs=21), 香茅乾 (https://www.notion.so/238fd5adc30b80998836c2b864bbf5ea?pvs=21)",100,160,0.542,86.72
魚露炸腿-雞粉,8,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,24,0.25,6
魚露炸腿-白胡椒,2,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,24,0.5,12
魚露炸腿-去骨腿排,0,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),去骨腿排 (https://www.notion.so/237fd5adc30b80f4b4eaf7bbc71a0f8b?pvs=21),0,12000,0.148,1776
青木瓜醬-花生,20,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),花生仁 (https://www.notion.so/237fd5adc30b806eb285ed0ebb040af2?pvs=21),600,30,0.217,6.51
青木瓜醬-菜豆,60,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),菜豆 (https://www.notion.so/237fd5adc30b80a0a995f2aa2c016c64?pvs=21),1200,20,0.1,2
青木瓜醬-蝦米,120,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),蝦米 (https://www.notion.so/237fd5adc30b8072bcf2c22acb42b884?pvs=21),600,5,0.467,2.335
青木瓜醬-蒜仁,40,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,15,0.167,2.505
青木瓜醬-大辣椒,40,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),大辣椒 (https://www.notion.so/237fd5adc30b805b8b3eca63d4d9960f?pvs=21),600,15,0.15,2.25
青木瓜醬-紅糖,60,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,30,0.033,0.99
青木瓜醬-羅望子,45,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,30,0.159,4.77
青木瓜醬-魚露,210,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,10,0.06,0.6
青木瓜醬-檸檬汁,53,青木瓜醬 (https://www.notion.so/237fd5adc30b80819c90e0ecbf289632?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,30,0.156,4.68
經典打拋醬-打拋醬,6,"經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21), 經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21)",打拋醬(花鐘) (https://www.notion.so/237fd5adc30b806f8f8cdcbde665ba9a?pvs=21),1360,200,0.235,47
經典打拋醬-蒜仁,15,"經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21), 經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21)",蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,40,0.167,6.68
經典打拋醬-鬼椒,20,"經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21), 經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21)",鬼椒 (https://www.notion.so/237fd5adc30b802faa8df808d8bd59b5?pvs=21),100,5,0.267,1.335
經典打拋醬-大辣椒,20,"經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21), 經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21)",大辣椒 (https://www.notion.so/237fd5adc30b805b8b3eca63d4d9960f?pvs=21),600,30,0.15,4.5
經典打拋醬-白砂糖,100,"經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21), 經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21)",白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,30,0.037,1.11
經典打拋醬-打拋粉,342,"經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21), 經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21)","打拋粉 (https://www.notion.so/237fd5adc30b805983aad327ae6a5e01?pvs=21), 打抛粉 (https://www.notion.so/237fd5adc30b8016938eda6b2100640f?pvs=21)",6850,20,0.98,19.6
秘傳炸翅-二節翅,1,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),二節翅 (https://www.notion.so/237fd5adc30b8001bdadd4a427a9efbd?pvs=21),6000,6000,0.108,648
秘傳炸翅-雞粉,6,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,30,0.25,7.5
秘傳炸翅-芫荽子,10,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),芫荽子 (https://www.notion.so/237fd5adc30b80b88e01f2f6a6ec27de?pvs=21),300,30,0.45,13.5
秘傳炸翅-白砂糖,100,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,30,0.037,1.11
秘傳炸翅-白胡椒,1,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,30,0.5,15
秘傳炸翅-黑胡椒,0,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),黑胡椒 (https://www.notion.so/237fd5adc30b8065839fec23d899e662?pvs=21),0,30,0.733,21.99
秘傳炸翅-魚露,13,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,160,0.06,9.6
秘傳炸翅-美極鮮味露,6,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),美極鮮味露 (https://www.notion.so/237fd5adc30b800ab164c3ad1386d09e?pvs=21),1000,145,0.256,37.12
秘傳炸翅-紅蔥頭,3,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,200,0.167,33.4
秘傳炸翅-蒜仁,6,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,100,0.167,16.7
經典炸粉-在來米粉,1,經典炸粉 (https://www.notion.so/237fd5adc30b80e5a5f6def1605178e1?pvs=21),在來米粉 (https://www.notion.so/237fd5adc30b808cadd2f990bb0f1dd2?pvs=21),600,600,0.087,52.2
經典炸粉-地瓜粉,4,經典炸粉 (https://www.notion.so/237fd5adc30b80e5a5f6def1605178e1?pvs=21),地瓜粉 (https://www.notion.so/237fd5adc30b806d82c8d023d10c9681?pvs=21),1800,400,0.058,23.2
經典炸粉-酥炸粉,1,經典炸粉 (https://www.notion.so/237fd5adc30b80e5a5f6def1605178e1?pvs=21),脆酥粉(黏師傅) (https://www.notion.so/237fd5adc30b809d941bf1de4faf562a?pvs=21),1000,1000,0,0
經典紅咖哩醬-紅蔥頭,23,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,30,0.167,5.01
經典紅咖哩醬-蒜仁,20,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,30,0.167,5.01
經典紅咖哩醬-紅咖哩醬,7,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),紅咖哩(有心) (https://www.notion.so/237fd5adc30b805da2d3e7f7e17efba9?pvs=21),1500,200,0.15,30
經典紅咖哩醬-菜豆,12,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),菜豆 (https://www.notion.so/237fd5adc30b80a0a995f2aa2c016c64?pvs=21),1200,100,0.1,10
經典紅咖哩醬-椰漿粉,0,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),椰漿粉 (https://www.notion.so/237fd5adc30b800bbfeaca15d2c19a11?pvs=21),0,200,0.37,74
經典紅咖哩醬-白砂糖,75,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,40,0.037,1.48
經典紅咖哩醬-杏鮑菇,2,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),杏鮑菇 (https://www.notion.so/237fd5adc30b80d5bc19dc90e7299ed9?pvs=21),600,300,0.133,39.9
經典紅咖哩醬-竹筍,1,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),竹筍 (https://www.notion.so/237fd5adc30b800ea2bcf3216b608948?pvs=21),200,200,0.133,26.6
經典紅咖哩醬-洋蔥,5,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),洋蔥 (https://www.notion.so/237fd5adc30b8084a750d06564ef0fb1?pvs=21),1000,200,0.05,10
經典紅咖哩醬-牛肉粉,0,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),牛肉粉 (https://www.notion.so/237fd5adc30b80eab9a6e4995dae553b?pvs=21),0,10,0,0
經典紅咖哩醬-魚露,70,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,30,0.06,1.8
經典紅咖哩醬-檸檬葉,5,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),檸檬葉乾 (https://www.notion.so/238fd5adc30b80df9498c09449b13443?pvs=21),50,10,0.9,9
經典紅咖哩醬-南薑,5,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),南薑乾 (https://www.notion.so/237fd5adc30b80c887e4f4bd0118c757?pvs=21),100,20,0.4,8
經典紅咖哩醬-水,666,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,300,0.001,0.3
