項目名稱,進貨食材,進貨數量,進貨單位,關聯採購單,項目金額,入庫,入庫重量/g
花生仁,花生仁 (https://www.notion.so/237fd5adc30b806eb285ed0ebb040af2?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
韭菜,韭菜 (https://www.notion.so/237fd5adc30b8089af27db55a0a0e34a?pvs=21),0.5,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,300
大辣椒,大辣椒 (https://www.notion.so/237fd5adc30b805b8b3eca63d4d9960f?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
菜豆,菜豆 (https://www.notion.so/237fd5adc30b80a0a995f2aa2c016c64?pvs=21),2,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,1200
豆芽菜,豆芽菜 (https://www.notion.so/237fd5adc30b8041afe9eca60656107a?pvs=21),2,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,1200
菜脯,菜脯 (https://www.notion.so/237fd5adc30b809b923bdabf5c9bf608?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
無子檸檬,無子檸檬 (https://www.notion.so/237fd5adc30b80c4a596f4e778a5e1ce?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
糯米椒,糯米椒 (https://www.notion.so/237fd5adc30b803d9f8be9a3b4948d12?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
小黃瓜,小黃瓜 (https://www.notion.so/237fd5adc30b809ea510e4b1f3c87b8e?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
紅葱穗,紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
高麗菜,高麗菜 (https://www.notion.so/237fd5adc30b80948b2afd34aaca0ec9?pvs=21),700,顆,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,700
小番茄,小番茄 (https://www.notion.so/237fd5adc30b80f09c23c68d2ea0a750?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
空心菜,空心菜 (https://www.notion.so/237fd5adc30b80208200ff2aa4f39b78?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
洋蔥,洋蔥 (https://www.notion.so/237fd5adc30b8084a750d06564ef0fb1?pvs=21),1,斤,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,600
白花菜,白花菜 (https://www.notion.so/238fd5adc30b8082b82aed5e85fdcc8c?pvs=21),800,顆,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,800
青花菜,青花菜 (https://www.notion.so/238fd5adc30b8063ba66c61d4b4a85f4?pvs=21),800,顆,菜商0723 (https://www.notion.so/0723-238fd5adc30b80529a6fdf3b6682f500?pvs=21),,Yes,800
二節翅,二節翅 (https://www.notion.so/237fd5adc30b8001bdadd4a427a9efbd?pvs=21),6,公斤,東莉0723 (https://www.notion.so/0723-238fd5adc30b804ca0c9cb5f9468ee81?pvs=21),,Yes,6000
雞塊,雞塊 (https://www.notion.so/238fd5adc30b80489fabec51b1e9011f?pvs=21),3,公斤,東莉0723 (https://www.notion.so/0723-238fd5adc30b804ca0c9cb5f9468ee81?pvs=21),,Yes,3000
玉米塊,玉米塊 (https://www.notion.so/238fd5adc30b802dbc94c1f4bd1bd1d2?pvs=21),3,公斤,東莉0723 (https://www.notion.so/0723-238fd5adc30b804ca0c9cb5f9468ee81?pvs=21),,Yes,3000